creator,url,distributors,videos,best_reach,best_outlier,creator_subs,best_title,last_seen
The-Quinta,https://www.youtube.com/@The-Quinta,1,1,1765575,1018.5,73200,Man Buys an Abandoned House and Restores It to New in 18 Months | by @The-Quinta,2026-02-12
Gabe_Octane,https://www.youtube.com/@Gabe_Octane,1,1,1625516,2.0,1780,Man Builds a Cabin with Free Pallets 8 Minutes | TIMELAPSE Start to Finish by @Gabe_Octane,2026-07-21
OlikaBushcraft,https://www.youtube.com/@OlikaBushcraft,1,2,1547231,2.4,8890,Building the Ultimate Secret Bunker | Wilderness Survival 🌲🔥🕳️ | By @OlikaBushcraft,2026-08-10
northtoalaska2022,https://www.youtube.com/@northtoalaska2022,1,1,1421843,14.6,225000,The couple is building their off-grid cabin in Alaska amidst a snowstorm | @northtoalaska2022,2024-12-28
pakistanitruck,https://www.youtube.com/@pakistanitruck,1,1,1367111,1.3,656000,How Pakistan Mechanics Bring American Construction Machines Back to Life | by @pakistanitruck,2025-09-11
thompsonscabin,https://www.youtube.com/@thompsonscabin,1,1,1106705,12.4,64000,Man Builds Incredible Off-Grid Cabin Alone with EZ Log Cabin Kit | Full Build by @thompsonscabin,2026-08-09
annasgmlindgren,https://www.youtube.com/@annasgmlindgren,1,1,1047164,1.0,36800,Woman Restores OLD Abandoned Wood House from Scratch | Start to Finish by@annasgmlindgren​,2026-02-28
MichaelValentino,https://www.youtube.com/@MichaelValentino,1,1,1030459,1.3,1690,"Man Builds a House with Pallets, Wheels, and Trash | Start to Finish by @MichaelValentino",2026-02-06
nialldivers,https://www.youtube.com/@nialldivers,1,1,920644,4.1,1680,He Turned Old Car Tires into a House That Can Withstand Extreme Weather for Centuries @nialldivers,2026-07-05
MartijnDoolaard,https://www.youtube.com/@MartijnDoolaard,1,1,883527,3.8,837000,Man Spends 365 Days Restoring Two Stone Houses in the Italian Alps | performed by@MartijnDoolaard,2026-06-13
chateaudepurnon,https://www.youtube.com/@chateaudepurnon,1,1,774645,3.3,495000,Couple spends $1 million to buy Purnon Castle and turn it into a dream castle | @chateaudepurnon,2026-06-03
DiscoverManufacturing,https://www.youtube.com/@DiscoverManufacturing,1,1,659199,0.6,90200,Men Build Full-Size Wooden Ships from Raw Logs | Start to Finish by  @DiscoverManufacturing,2026-02-22
ZiskindVillage,https://www.youtube.com/@ZiskindVillage,1,1,609117,81.3,324000,Incredible House Built Start to Finish | Timelapse by @ZiskindVillage,2025-09-12
InWildForest,https://www.youtube.com/@InWildForest,1,1,585033,39.8,,How a Man Builds a SECRET Dugout Survival Shelter Alone | Start to Finish by @InWildForest,2025-04-04
doracamperstudio,https://www.youtube.com/@doracamperstudio,1,1,581765,44.6,11500,Man Built a FULL HOUSE Inside a Van… And It’s Unreal! 😳. ( By ‪@doracamperstudio  ),2026-06-27
ShredPile,https://www.youtube.com/@ShredPile,1,1,532369,2.9,26200,Man Builds Incredible Luxury Wooden House in the Mountains | Start to Finish by @ShredPile,2026-06-08
Benjamin-roct,https://www.youtube.com/@Benjamin-roct,1,1,527082,2.2,100000,Couple Spends 2 Years Renovating a 750m² Charentaise House | from beginning to end @Benjamin-roct,2026-05-09
kbmorozov,https://www.youtube.com/@kbmorozov,1,2,524614,0.5,138000,"Man Builds $12,000 Strongest RC Tractor with Hydraulic Mechanisms | Start to Finish by @kbmorozov​",2026-03-07
TriệuThịDuyên-b8b,https://www.youtube.com/@TriệuThịDuyên-b8b,1,1,518934,4.9,5560,Talented woman: Builds a floating house on a deserted island in 180 days by @TriệuThịDuyên-b8b,2026-02-25
Damarsito,https://www.youtube.com/@Damarsito,1,1,505835,67.5,11500,Restoring an 1880s Old House | Full Timelapse from Start to Finish by @Damarsito,2026-02-19
KrisHarbour,https://www.youtube.com/@KrisHarbour,1,1,500876,2.1,618000,Man Builds an Off-Grid Workshop Using Earthbags | Start to Finish@KrisHarbour,2026-08-04
AndrewCamarata,https://www.youtube.com/@AndrewCamarata,1,2,491632,2.1,1520000,Man Builds Castle on Mountain Using Shipping Containers | From Start to Finish @AndrewCamarata,2026-05-16
manmadecrafts,https://www.youtube.com/@manmadecrafts,1,1,456332,227.3,1300000,Turning Dead Space Into a Tiny Office Under the Stairs | By @manmadecrafts,2026-02-27
AustinCoulson,https://www.youtube.com/@AustinCoulson,1,1,432224,2.7,152000,MAN TRANSFORMS an Old Box Truck Into a LUXURY MOBILE PIZZERIA | start to finish by @AustinCoulson,2026-07-25
LostinMountainsCarpathians,https://www.youtube.com/@LostinMountainsCarpathians,1,1,421722,2.2,51000,Surviving High Building a Treehouse During a Blizzard |  By @LostinMountainsCarpathians,2026-07-26
emmanuel_sepulchre,https://www.youtube.com/@emmanuel_sepulchre,1,1,401244,4.2,1100,2 Friends Built an Off-Grid Timber Frame Cabin in the Forest (From Scratch) by@emmanuel_sepulchre,2026-05-05
Montana,https://www.youtube.com/@Montana,1,1,393489,1145.5,,A man and his family built a log cabin in Alaska@Montana Haven,2025-12-14
sharingsurvival,https://www.youtube.com/@sharingsurvival,1,1,392590,0.4,7170,Man Builds Dream Log Cabin in the Forest | Start to Finish by @sharingsurvival,2026-01-06
woodwood1,https://www.youtube.com/@woodwood1,1,1,392262,1.7,113000,"Process of Building a GIANT Wooden Villa in South Korea for $1,000,000 | Step-by-step by @woodwood1",2026-07-10
ourtraveljournalnl,https://www.youtube.com/@ourtraveljournalnl,1,1,355436,0.4,2220,Couple Turns Old Fiat Ducato Into a Luxury Tiny Home on Wheels | Start to Finish@ourtraveljournalnl,2026-05-14
trieuthisenh-o6k,https://www.youtube.com/@trieuthisenh-o6k,1,1,350714,31.2,15200,Young Woman Builds Dream Wooden House Beside the Stream | Start to Finish by @trieuthisenh-o6k ‬,2025-10-30
TravelingbyTacoma,https://www.youtube.com/@TravelingbyTacoma,1,1,324781,0.3,13500,"Man Turns a $20,000 Truck into a Tiny Dream Camper | Start to Finish Build by @TravelingbyTacoma",2026-04-29
KeeflaDiy,https://www.youtube.com/@KeeflaDiy,1,1,320459,0.4,4150,Family Builds a Cheap Homemade Pontoon Boat Using Barrels | Start to Finish @KeeflaDiy,2026-06-08
WildlifeHomesteadCabin,https://www.youtube.com/@WildlifeHomesteadCabin,1,1,308001,3.2,,Building a cabin & furniture entirely out of wood by hand in the wilderness: @WildlifeHomesteadCabin,2026-04-12
mr.deswal6903,https://www.youtube.com/@mr.deswal6903,1,1,299882,0.3,476000,Building the Biggest RC Tractor with REAL Mechanisms | Full Process by​ @mr.deswal6903​,2025-05-22
buildingroots5873,https://www.youtube.com/@buildingroots5873,1,1,299426,1.3,8100,Couple spends five years building a massive straw house | from start to finish@buildingroots5873,2026-08-07
ChâteauduVot,https://www.youtube.com/@ChâteauduVot,1,1,290543,38.8,1900,Couple Renovates an Ancient Abandoned French Castle | Full Timelapse by @ChâteauduVot,2026-07-30
RAWConstructionASMR,https://www.youtube.com/@RAWConstructionASMR,1,1,270148,2.8,3770,"The Foundation and Framing Process of a 5,500 sq ft Home in Austin, Texas: @RAWConstructionASMR",2026-05-10
TieuLieu-17yearold,https://www.youtube.com/@TieuLieu-17yearold,1,1,267361,2.5,62900,Young woman transforms old house into A NEW HOME in just 60 days by @TieuLieu-17yearold,2026-03-13
Trieuthiduong,https://www.youtube.com/@Trieuthiduong,1,2,240645,2.3,98300,Talented woman: Building a self-sufficient floating house on a deserted island by @Trieuthiduong,2026-04-08
annieandthevicarage,https://www.youtube.com/@annieandthevicarage,1,1,239626,32.0,9730,A Woman Renovates a Farmhouse in the Countryside | From Start to Finish by @annieandthevicarage,2026-07-21
fazenda13aa,https://www.youtube.com/@fazenda13aa,1,1,236963,31.6,8070,A Man Builds a Frame House | From Start to Finish by @fazenda13aa,2025-10-08
Renovacile,https://www.youtube.com/@Renovacile,1,1,233464,1.0,84300,Couple Spends 4 Years Transforming an Old Barn Into a Dream Home | performed by @Renovacile,2026-06-17
LakeLotBuild,https://www.youtube.com/@LakeLotBuild,1,1,225870,0.2,8410,Couple Builds ICF House on Mountain with Million Dollar View | Start to Finish by @LakeLotBuild,2025-04-23
old_school_moaboa,https://www.youtube.com/@old_school_moaboa,1,1,212883,28.4,32700,100 Year Old House Renovation - Timelapse by @old_school_moaboa,2026-01-21
TheCrockers,https://www.youtube.com/@TheCrockers,1,1,209215,2.4,462000,Watch a Couple Build Their Dream House from Start to Finish @TheCrockers @QuantumMakers ,2026-08-04
thetielife,https://www.youtube.com/@thetielife,1,1,172108,23.0,33700,A Couple Builds a Rammed Earth Greenhouse From Start to Finish | Timelaps by @thetielife,2025-12-01
adventurevibee,https://www.youtube.com/@adventurevibee,1,1,141369,439.7,124000,A Man Built a Safe and Comfortable Hideout inside a Large and Strange Rock | By@adventurevibee,2025-04-16
mycustomgokart,https://www.youtube.com/@mycustomgokart,1,1,135997,0.1,185000,Man Transforms Old Lawn Mower into a Fast Racing Go-Kart | Start to Finish by @mycustomgokart,2025-11-27
whyknotbuildit,https://www.youtube.com/@whyknotbuildit,1,1,132585,0.1,8560,"Couple Restores Their Storm-Destroyed Backyard and Saves $40,000 | Full Build by @whyknotbuildit​",2026-05-30
SashaJuliardD,https://www.youtube.com/@SashaJuliardD,1,1,122658,9.4,39500,Man Built a LUXURY Cabin in The Jungle! Start to Finish By @SashaJuliardD,2026-08-02
Kings_Wharf_Restoration,https://www.youtube.com/@Kings_Wharf_Restoration,1,1,119710,2.4,18100,Man Restores a 48-Year-Old Boat | Start to Finish @Kings_Wharf_Restoration,2026-06-15
RCHBuilders,https://www.youtube.com/@RCHBuilders,1,1,115688,15.4,1170,Old House Renovation into a Cozy Home: Start to Finish | Timelapse by @RCHBuilders,2025-09-24
ThePasturedHomestead,https://www.youtube.com/@ThePasturedHomestead,1,1,111939,0.5,191000,Couple Builds a Self-Sufficient Energy Home on a 50-Acre Farm | by@ThePasturedHomestead,2026-08-09
jeffreywaldman,https://www.youtube.com/@jeffreywaldman,1,1,110868,0.1,19600,Friends Build a Wood Cabin in Forest in 10 Minutes – TIMELAPSE | Start to Finish by @jeffreywaldman,2026-08-10
WildGnomosTV,https://www.youtube.com/@WildGnomosTV,1,1,104747,0.5,4890,Man Builds Stunning Log Cabin on MASSIVE GRANITE Foundation | Start to Finish by @WildGnomosTV,2026-06-23
riverrockcabin5941,https://www.youtube.com/@riverrockcabin5941,1,1,89744,1.0,1540,Old Man and His Wife Build an Incredible Luxury Home in the Wild Forest | by @riverrockcabin5941,2026-06-18
Diego_Leon,https://www.youtube.com/@Diego_Leon,1,1,89147,0.4,175000,Couple Restores a 200-Year-Old French Countryside Home | from beginning to end@Diego_Leon,2026-06-09
radicalgastronomy,https://www.youtube.com/@radicalgastronomy,1,1,86122,11.5,25000,A Man Builds a Mini House | Timalapse from Start to Finish by @radicalgastronomy,2026-01-27
CarRestorations-USA,https://www.youtube.com/@CarRestorations-USA,1,1,79741,1.6,14400,Man Restores an Abandoned Patrol Vehicle Into His Dream Ride | by @CarRestorations-USA,2026-07-30
woodysbarndominium,https://www.youtube.com/@woodysbarndominium,1,1,59787,0.7,38200,Family Rebuilds a Dream Off-Grid Cabin in the Forest | Start to Finish by @woodysbarndominium,2026-06-10
LandtoHouse,https://www.youtube.com/@LandtoHouse,1,1,52031,7.0,260000,A Man Builds a Modular Home | Start to Finish | Timelapse by @LandtoHouse,2025-10-27
BuildStudioHQ,https://www.youtube.com/@BuildStudioHQ,1,1,47616,8.4,324000,Couple Builds SHIPPING CONTAINER HOME With No Experience | by @BuildStudioHQ,2026-02-28
HandyGeng,https://www.youtube.com/@HandyGeng,1,1,42304,21.1,404000,I Built a Homemade Amphibious RV That Floats + A Zero-Gravity Centrifugal Car | By @HandyGeng,2026-02-22
THENORTHCABIN,https://www.youtube.com/@THENORTHCABIN,1,1,40197,3.5,49400,Building an Off-Grid Cabin Before Winter Strikes | from beginning to end by @THENORTHCABIN,2026-07-31
cabininthenorth,https://www.youtube.com/@cabininthenorth,1,1,37266,0.4,3860,The man builds his own wooden cabin by hand. | @cabininthenorth,2025-02-08
WildRoot.Bushcraftz,https://www.youtube.com/@WildRoot.Bushcraftz,1,1,35482,3.1,,Building 5 Hidden Off-Grid Shelters from Scratch | by @WildRoot.Bushcraftz,2026-07-19
Bushgard-x,https://www.youtube.com/@Bushgard-x,1,1,34789,2.7,19800,99% of People Couldn't Build This Shelter... He Did It Alone! ( By @Bushgard-x ),2026-07-14
20by8,https://www.youtube.com/@20by8,1,1,34223,19.7,14200,Man Builds an Amazing DIY Container Workshop in the Mountains | by @20by8,2026-03-10
TheDIYCabinGuy,https://www.youtube.com/@TheDIYCabinGuy,1,1,33974,6.0,32500,Man Turns a Steep Mountain Slope Into a Stunning Cabin | by @TheDIYCabinGuy,2026-03-21
Mechanical-Hands,https://www.youtube.com/@Mechanical-Hands,1,1,31369,13.6,77900,Reviving a big 40 Year Old dead–Mercedes V10 Engine Revival SHOCKS Everyone!( By @Mechanical-Hands ),2025-08-24
seyyarhane,https://www.youtube.com/@seyyarhane,1,1,30411,0.0,553000,Couple Build Stunning Caravan Home on an Empty Truck Chassis | Full Transformation @seyyarhane ​,2026-06-23
TractorsandCream,https://www.youtube.com/@TractorsandCream,1,1,30043,4.0,12400,A Man Builds a Dome House From Start to Finish | Timelaps by @TractorsandCream,2025-11-28
OurRestorationNation,https://www.youtube.com/@OurRestorationNation,1,1,29204,3.9,162000,Old House Renovation | Full Timelaps from Start to Finish by ⁨@OurRestorationNation,2025-10-19
TheLodgeGuys,https://www.youtube.com/@TheLodgeGuys,1,1,28623,0.9,47000,From Empty Van to Luxury Motorhome | Start To Finish @TheLodgeGuys,2026-08-09
rosagold,https://www.youtube.com/@rosagold,1,1,23514,13.6,71300,Couple Spends 100 Days Renovating Old House Back to New | by @rosagold,2026-03-13
DağKöyündeHayat,https://www.youtube.com/@DağKöyündeHayat,1,1,21405,0.2,49500,Man Builds Unique Off-Grid Cabin Using Only Hand Tools @DağKöyündeHayat,2025-11-08
bodhibus,https://www.youtube.com/@bodhibus,1,1,20714,0.0,1120,Two Men Turns a Utility Trailer into a Mobile Home Studio in 9 Minutes - TIMELAPSE @bodhibus,2026-06-23
johnwolson,https://www.youtube.com/@johnwolson,1,1,19518,3.4,10600,Man Builds $387K Luxury Mountain House on Steep Terrain With Stunning Views | by @johnwolson,2026-01-23
diekleinewerkstatt727,https://www.youtube.com/@diekleinewerkstatt727,1,1,17093,0.1,11000,Man Transforms His Backyard and Builds an Amazing BBQ Cabin | by@diekleinewerkstatt727,2026-08-10
Perfectgroup2013,https://www.youtube.com/@Perfectgroup2013,1,2,16259,1.4,49,Building a Massive Log Fortress: Star-Shaped Timber & Crane Lifts | by @Perfectgroup2013,2026-07-01
ThisOldJalopy,https://www.youtube.com/@ThisOldJalopy,1,1,16154,0.0,42300,Man Turns an Old Car Into Electric Vehicle | Start to Finish by @ThisOldJalopy,2026-07-15
Bochi,https://www.youtube.com/@Bochi,1,1,15751,0.1,,This guy builds a round house in just 3 days! From start to finish by @Bochi Hut,2026-01-26
electricsupercar,https://www.youtube.com/@electricsupercar,1,1,15482,0.5,182000,Man Builds a REAL Electric Supercar in His Garage | Start To Finish by @electricsupercar,2026-05-18
sawyerslawncareservice,https://www.youtube.com/@sawyerslawncareservice,1,1,14316,1.1,7610,The FASTEST Way to Remove Fall Leaves ! (By @sawyerslawncareservice  ),2026-08-10
trwilderness-bahadirkilic,https://www.youtube.com/@trwilderness-bahadirkilic,1,1,14283,1.2,113000,Building a log cabin in 30 days - From start to finish by @trwilderness-bahadirkilic,2026-06-11
secondgrowthhomes,https://www.youtube.com/@secondgrowthhomes,1,1,13976,1.9,4990,A Man Builds a Frame Cabin | From Start to Finish by @secondgrowthhomes,2025-12-04
HomeSweetHomeAlaska,https://www.youtube.com/@HomeSweetHomeAlaska,1,1,11948,0.1,33900,Man Builds an Incredible Dream Log House in the Wild Forest | Start to Finish@HomeSweetHomeAlaska,2026-04-13
nhettvchannel,https://www.youtube.com/@nhettvchannel,1,1,11645,3.2,2530000,Man Spent 350 Days Building a Lamborghini Revuelto From Scrap | Start To Finish By @nhettvchannel,2026-05-04
wetscapes,https://www.youtube.com/@wetscapes,1,1,11441,1.5,2530,Professional Pool Build in the Backyard | Timelaps by @wetscapes,2025-12-22
7asean,https://www.youtube.com/@7asean,1,1,10414,17.0,,The man built a self-sufficient bamboo island in 365 days.| by@7asean,2026-04-02
SBRRCTRUCK,https://www.youtube.com/@SBRRCTRUCK,1,1,10240,2.8,401000,Young Man Builds a Realistic RC Dump Truck MAN TGS from PVC | Start to Finish By @SBRRCTRUCK,2026-05-03
PhươngOutdoor,https://www.youtube.com/@PhươngOutdoor,1,1,9754,14.8,167000,Solo Woman Builds a Swimming Pool and Cabin in 300 Days | Start to Finish By @PhươngOutdoor,2026-07-17
BushcraftAdventure,https://www.youtube.com/@BushcraftAdventure,1,1,9446,0.3,35500,Man Builds INSANE Snow Igloo To Live In | Start to Finish by @BushcraftAdventure,2026-05-01
QTechGlobal,https://www.youtube.com/@QTechGlobal,1,1,9310,0.1,4120,The Forgotten Village: One Young Man’s Incredible Wooden House Transformation | By @QTechGlobal,2026-05-16
outdoorboy0,https://www.youtube.com/@outdoorboy0,1,1,8961,0.7,19800,Building a STONE Shelter Under a Giant Rock! (@outdoorboy0 ),2026-08-09
LýPhúcNhi,https://www.youtube.com/@LýPhúcNhi,1,1,8861,0.8,25300,Woman Builds a Stunning Luxury Villa by the Lake from Scratch in Just 180 Days | by ‪@LýPhúcNhi ‬,2025-12-20
my-good-friends,https://www.youtube.com/@my-good-friends,1,1,8733,0.8,27500,Solo Building an Off-Grid Cabin from Dirt to Solar | Start To Finish by @my-good-friends,2026-08-03
TheEnesYilmazerPodcast,https://www.youtube.com/@TheEnesYilmazerPodcast,1,1,8298,0.6,829000,The Most Luxurious House on the Mountain!  😳 Bel Air Escape { @TheEnesYilmazerPodcast   },2026-07-13
Lakimhue998,https://www.youtube.com/@Lakimhue998,1,1,8156,0.1,139000,This young woman is bringing a 90-year-old scrap tractor back to brand new condition! @Lakimhue998,2026-03-09
PacificPinesRanch,https://www.youtube.com/@PacificPinesRanch,1,1,8078,0.2,84300,"They Spent $700,000 Turning Junk Containers Into a Modern Architectural Miracle.(@PacificPinesRanch)",2026-08-05
marusya_outdoors,https://www.youtube.com/@marusya_outdoors,1,1,7951,4.0,20600000,Surviving the Freezing Wilderness: Building an Igloo Shelter By @marusya_outdoors,2026-05-03
LRN2DIY,https://www.youtube.com/@LRN2DIY,1,1,7491,1.0,1280000,A Man Builds a Treeless Tree House | Timelaps from Start to Finish by @LRN2DIY,2026-01-24
GreasyFingers,https://www.youtube.com/@GreasyFingers,1,1,5842,0.8,30400,Man Restores an Old Classic Cars | Full Timelapse Step by Step form @GreasyFingers,2026-07-26
Nasatchanne,https://www.youtube.com/@Nasatchanne,1,1,5768,2.5,,This Engine Repair Was Thought Impossible… But He Fixed It! ✅ by @Nasatchanne,2026-08-01
Fitiman,https://www.youtube.com/@Fitiman,1,1,5645,0.8,1230,Man Renovates an Old Stone House | Full Timelapse from Start to Finish by @Fitiman ​,2026-02-16
SavingSweetWilliam,https://www.youtube.com/@SavingSweetWilliam,1,1,5429,0.7,,A Couple Renovate a Greek House | From Start to Finish | Timelaps by @SavingSweetWilliam,2026-01-30
One.woman.wilderness,https://www.youtube.com/@One.woman.wilderness,1,1,5404,0.7,229000,Woman renovates a Cabin in the Woods | Timelapse from Start to Finish by @One.woman.wilderness,2026-08-02
buildingskill9353,https://www.youtube.com/@buildingskill9353,1,1,5397,2.7,1750000,This Treehouse Is Not For The Faint Hearted | By @buildingskill9353,2026-02-01
JanCampLife,https://www.youtube.com/@JanCampLife,1,1,4971,0.1,,Master in building unique shelters | @JanCampLife,2024-12-29
WildAngelBushcraft,https://www.youtube.com/@WildAngelBushcraft,1,1,4957,0.7,24500,A Girl Builds a Shelter in the Woods | Full Timelapse from Start to Finish by @WildAngelBushcraft,2026-03-31
SalvagetoScenic,https://www.youtube.com/@SalvagetoScenic,1,1,4856,1.3,322000,Man Transforms an Old Pontoon Boat into a LUXURY Tiny Floating Home @SalvagetoScenic​,2026-05-06
awesome,https://www.youtube.com/@awesome,1,1,4825,49.2,109000,100% Wrecked & Forgotte Can This Nissan Patrol Be Saved | by @awesome car restoration,2026-04-07
MrHoaBushcraft,https://www.youtube.com/@MrHoaBushcraft,1,1,4772,0.0,138,This man is building a top-secret bunker among massive rocks! @MrHoaBushcraft,2026-03-20
WELDPRO,https://www.youtube.com/@WELDPRO,1,1,4723,48.2,35,CRAZY Idea! Turn Your Bicycle Into a Chainless 500W Electric Bike|By @WELDPRO,2026-03-28
DailyBergstrom,https://www.youtube.com/@DailyBergstrom,1,1,4697,2.6,,Hombre Convierte Granero Abandonado En Un Taller de Ensueño DIY | Antes Y Después | @DailyBergstrom,2026-01-08
Ishkinin_Outdoors,https://www.youtube.com/@Ishkinin_Outdoors,1,1,4320,0.6,1900,A Man Builds a Shelter in the Woods | Timelaps by @Ishkinin_Outdoors,2025-11-10
volodhendrix,https://www.youtube.com/@volodhendrix,1,1,4147,0.6,378,Incredible House Built Start to Finish | Timelapse by  @volodhendrix,2025-11-25
WisdomPreserved,https://www.youtube.com/@WisdomPreserved,1,1,4143,0.6,63500,A Woman Builds a Unique Window Greenhouse | Timelapse From Start to Finish by @WisdomPreserved​,2026-01-18
GrumpyToadCreation,https://www.youtube.com/@GrumpyToadCreation,1,1,4084,0.4,,"Man Builds a Dream Home and Saves $500,000 Doing It Himself - Start to Finish by @GrumpyToadCreation",2026-07-19
Grovehide_Builds,https://www.youtube.com/@Grovehide_Builds,1,1,4034,0.9,794,Racing the Snow to Build an Off-Grid Winter Cabin | Start To Finish by @Grovehide_Builds,2026-07-28
TravelersTale,https://www.youtube.com/@TravelersTale,1,1,3860,0.0,234000,Build a bunker to stay in the freezing snow and ice. | @TravelersTale,2025-01-21
Christine,https://www.youtube.com/@Christine,1,1,3830,3.1,108,Inside an Epic Forest Cabin Build – A-Frame House Made by Couple @Christine & Jesse,2026-06-20
woody_allan,https://www.youtube.com/@woody_allan,1,1,3774,0.3,3610,Man Built a Secret Underground Heated Cabin in the Forest!  (By ‪@woody_allan  ),2026-06-12
ForestHobby_,https://www.youtube.com/@ForestHobby_,1,1,3772,11.7,32200,The Man restored a Abandoned House Into a Perfect Shelter During Snowstorm | By @ForestHobby_,2025-04-10
AleksandrKvasha,https://www.youtube.com/@AleksandrKvasha,1,1,3746,0.3,,Man Built a SECRET Bunker in His Backyard - DIY Transformation! ( By ‪@AleksandrKvasha‬),2026-03-29
lifeinruralthailand,https://www.youtube.com/@lifeinruralthailand,1,1,3678,0.5,120000,A Man Builds a Frame House | From Start to Finish by @lifeinruralthailand,2025-11-05
HomesteadingUncontained,https://www.youtube.com/@HomesteadingUncontained,1,1,3324,0.4,37800,Man builds a greenhouse on his farm | Timelapse from Start to Finish by @HomesteadingUncontained,2026-06-17
Noru,https://www.youtube.com/@Noru,1,1,3318,33.9,6,Man Builds a Handmade Survival Shelter in 15 Days | By @Noru Saru Bushcraft,2026-04-28
NHẾT,https://www.youtube.com/@NHẾT,1,1,3248,2.5,1,Turning Dreams into Reality |  From Start to Finish by @NHẾT TV,2024-12-29
Xiaoqianfeng,https://www.youtube.com/@Xiaoqianfeng,1,1,3151,1.6,535000,A Girl Builds Her Own House in the Countryside in 360 Days | By @Xiaoqianfeng,2026-02-24
Restoration,https://www.youtube.com/@Restoration,1,1,2873,29.3,1640000,Abandoned KAWASAKI NSR 50… Then This Full Restoration Happened | By @Restoration Repair,2026-04-10
RJLgardens,https://www.youtube.com/@RJLgardens,1,1,2775,0.0,100000,Sculpting Nature's Beauty. A Gardener’s Journey of Precision and Passion: @RJLgardens,2024-12-23
SurvivalBuild,https://www.youtube.com/@SurvivalBuild,1,1,2771,2.1,560000,Woman builds Insanely beautiful tree house from start to finish by  @SurvivalBuild ​,2025-01-31
realmikethakur,https://www.youtube.com/@realmikethakur,1,1,2639,1.4,350,Familia Compra Mansión Quemada Y La Convierten En La Casa De Sus Sueños  | ⁨@realmikethakur,2026-01-01
DomashMaster,https://www.youtube.com/@DomashMaster,1,1,2600,8.2,1020000,Building a Budget Frame House in Just 7 Days! (Step-by-Step Process) @DomashMaster,2026-06-23
JPMansionTours,https://www.youtube.com/@JPMansionTours,1,1,2246,0.2,171000,Inside a $5 Million Mansion That Feels Like a 7-Star Resort!  (By @JPMansionTours ),2026-06-30
theturkishviking-bushcraft,https://www.youtube.com/@theturkishviking-bushcraft,1,1,2236,1.1,,Solo Bushcraft Build: A Warm Treehouse After 365 Days | By @theturkishviking-bushcraft,2026-02-12
muhammadali77,https://www.youtube.com/@muhammadali77,1,1,2215,1.0,35000,Rusty Scrap Bus Becomes a Million-Dollar Coach | Start to Finish ( by @muhammadali77 ),2025-09-16
FreeRoamFitouts,https://www.youtube.com/@FreeRoamFitouts,1,1,2035,0.3,20800,A Man Builds an Amazing DIY Container Home | Housing From Start to Finish by @FreeRoamFitouts,2026-05-28
SurvivingAlone-i2j,https://www.youtube.com/@SurvivingAlone-i2j,1,1,2016,0.2,32300,From Raw Dirt: Solo Building an Off-Grid Concrete Homestead | by @SurvivingAlone-i2j,2026-08-06
AmbitionStrikes,https://www.youtube.com/@AmbitionStrikes,1,1,2011,0.6,1140000,Couple Builds an Amazing Tiny Home From Shipping Containers  | Start to Finish @AmbitionStrikes,2026-05-20
paktech9707,https://www.youtube.com/@paktech9707,1,1,1867,1.2,177000,Handmade Isuzu Bus Production in Pakistan | Full Process by Professional Skills @paktech9707,2026-04-27
ben-kilner,https://www.youtube.com/@ben-kilner,1,1,1818,0.5,495000,Man Revives a 100-Year-Old Abandoned Workshop | Start to Finish By @ben-kilner,2026-05-26
ĐiềnTiểuCaFarm86,https://www.youtube.com/@ĐiềnTiểuCaFarm86,1,2,1686,62.4,,She Built a Cozy Hut on a Tree – A Dream in Nature@ĐiềnTiểuCaFarm86,2026-01-20
ThanhBoat,https://www.youtube.com/@ThanhBoat,1,2,1655,1.3,0,THIS WATERPROOF SUKHOI 35 MODEL is a GAME CHANGER ! From Start to Finish by   @ThanhBoat,2024-12-25
AxesGarage,https://www.youtube.com/@AxesGarage,1,1,1428,0.6,3610,From Scrap to Supercar: The 1 Million Dollar Homemade Bugatti! (By @AxesGarage ),2025-11-02
lathimui,https://www.youtube.com/@lathimui,1,1,1413,0.1,16500,Poor Family Builds a New Home After Their House Was Destroyed by Heavy Rain | Build by @lathimui,2026-03-25
andriibushcraft34,https://www.youtube.com/@andriibushcraft34,1,1,1389,4.1,800,Man Builds a Forest Dugout With Fireplace | Start to Finish by @andriibushcraft34,2025-08-29
hoangthichien1991ideahouse,https://www.youtube.com/@hoangthichien1991ideahouse,1,1,1325,1.0,86000,Young girl built herself a stone house with only 50 USD? | @hoangthichien1991ideahouse #stonehouse,2024-12-28
MADDETAILING,https://www.youtube.com/@MADDETAILING,1,1,1324,0.7,547000,Restoring An Abandoned Boat After 10 Years To Like-New Condition | By @MADDETAILING,2026-01-30
Le_Dan,https://www.youtube.com/@Le_Dan,1,1,1281,1.0,577000,Building a One-of-a-Kind Chopper: From Single-Cylinder to W3 Engine Masterpiece | made by @Le_Dan,2025-01-22
MoonCamping2005,https://www.youtube.com/@MoonCamping2005,1,1,1269,1.0,,Full 7 Days Building secret survival shelter Start to finish by @MoonCamping2005,2025-02-05
TimKatie,https://www.youtube.com/@TimKatie,1,1,1238,0.3,108000,Couple Builds an Amazing Luxury Camper Van From a Modern Ford | Full Conversion Process @TimKatie,2026-05-24
lesnoy_nearthefire998,https://www.youtube.com/@lesnoy_nearthefire998,1,1,1127,38.9,249000,I Built a Cozy Off Grid Log Cabin Alone in the Deep Forest Full Process @lesnoy_nearthefire998,2026-04-21
