confianza,similitud,palabras_genericas,VIDEO_SIN_CREDITO_titulo,VIDEO_SIN_CREDITO_canal,VIDEO_SIN_CREDITO_url,perpetuidad,views,dias,CREADOR_INFERIDO,REFERENCIA_que_si_acredita_titulo,REFERENCIA_canal,palabras_en_comun
ALTA,1.0,SÍ — revisar,How Did the Young Man build his Dream Log House in the Harsh Weather Conditions of the Forest?,Innovative Tech World,https://www.youtube.com/watch?v=OiikjafZREw,3793,3364,718,@loginnature8516,Family Builds Dream Log House in the Forest | Start to Finish by @loginnature8516,TechFreeze,"dream, forest, house, log"
ALTA,1.0,,How This $5000 Backyard Underground Bunker Was Built From Scratch | Full DIY Process,KLIFS TECH,https://www.youtube.com/watch?v=NaXe2_SIb64,3773,3204,602,@Tornado_Dave,Man Builds Underground Bunker in his Backyard | Full Build by @Tornado_Dave,Makerium,"backyard, bunker, underground"
ALTA,1.0,,Most Unusual Vehicles,99Techspot,https://www.youtube.com/watch?v=ijpSpPSyGJQ,3602,3063,605,@1BillionTech,Most Unusual Vehicles,22TechZoom,"most, unusual, vehicles"
ALTA,1.0,,Man Renovation Incredible DIY Wood Cabin in the Woods Start to Finish,Cabin Maker,https://www.youtube.com/watch?v=rWuEUWFh86w,3244,1655,133,@DmitryLukinDIY,Man Builds Amazing DIY Wood Cabin in the Woods Start to Finish by @DmitryLukinDIY,Build Maker,"cabin, wood, woods"
ALTA,1.0,,COOLEST MOBILE HOMES THAT WILL BLOW YOUR MIND,FuturisticTech,https://www.youtube.com/watch?v=z-mNLJn3zaE,3223,2604,499,@TruckSurfHotel,MOBILE HOMES THAT WILL BLOW YOUR MIND,KLIFS TECH,"blow, homes, mind, mobile, will"
ALTA,1.0,,Building a Log Cabin From Scratch in 30 Days | Start to Finish,Farm Tastic,https://www.youtube.com/watch?v=OR6X_XiP3ZY,3097,2378,417,@woodjunkie_yt,Off-Grid Log Cabin Built From Scratch by a Young Couple | Full Timelapse by ‪@woodjunkie_yt‬,99Techspot,"cabin, log, scratch"
ALTA,1.0,,Amazing Military Technologies That Are On Another Level,FuturisticTech,https://www.youtube.com/watch?v=icsXrnXtWiE,2676,2296,627,@elbitsystems,Modern Military Technologies That Are At Another Level ▶2,TechFreeze,"another, level, military, technologies"
ALTA,1.0,,One Man Transforms a Giant Tree into Massive Boat,10 Royal Tech,https://www.youtube.com/watch?v=A43ulGeCbMQ,2594,1688,250,@OutbackMike,One Man Transforms a Giant Tree into Massive Boat | Start to Finish Build by @OutbackMike,TechFreeze,"boat, giant, massive, one, transforms, tree"
ALTA,1.0,,Luxurious Two-Story Mobile Homes That Will Blow Your Mind,22TechZoom,https://www.youtube.com/watch?v=u5hhVo_Losg,2570,2197,618,@TruckSurfHotel,MOBILE HOMES THAT WILL BLOW YOUR MIND,KLIFS TECH,"blow, homes, mind, mobile, will"
ALTA,1.0,,Man’s DIY Container Home with Rooftop Terrace Looks Straight Out of a Designer’s Dream!,TTI Build Stories ,https://www.youtube.com/watch?v=BgAUwxzTNEI,2561,2220,653,@TheModernHomeProject,A Man Built His Dream Container Home in 3 Years@TheModernHomeProject,Renovation Rescue HD,"container, dream, home"
ALTA,1.0,,Man Builds SU-35 JET BOAT From Scratch 🚀 | Full Build Start to Finish (Twin Kawasaki Engines),High speed Snail ,https://www.youtube.com/watch?v=BjBGpLqp6fo,2488,1281,136,@ThanhSuperBoat,A Man Builds a SU-35 Jet Boat From Scratch | @ThanhSuperBoat,Renovation Rescue HD,"boat, jet, scratch"
ALTA,1.0,,Most Amazing Cars In The World,22TechZoom,https://www.youtube.com/watch?v=AMRJqahgR-s,2409,2245,895,@BuiltintheUSA,Inside Toyota’s Factory Building the World’s Most Powerful and Luxurious Cars 🚗🔥 | @BuiltintheUSA,FixNation,"cars, most, world"
ALTA,1.0,,INGENIOUS TOOLS AND EQUIPMENT THAT ARE ON ANOTHER LEVEL,KLIFS TECH,https://www.youtube.com/watch?v=mgKUL_qdKeI,2381,2239,934,@winnidesigns,Ingenious tools that are on another Level ▶1,TechFreeze,"another, ingenious, level, tools"
ALTA,1.0,,This Man Turns His Boring Backyard into a Luxury Swimming Pool!,TTI Build Stories ,https://www.youtube.com/watch?v=2ub9Ycf26hs,2190,1918,681,@EricLeCarreleur,Man Builds Luxury Swimming Pool in His Backyard | Start to Finish by @EricLeCarreleur,Makerium,"backyard, luxury, pool, swimming"
ALTA,1.0,,How I Built A Secret Tree House Inside A Giant Oak | Hidden Shelter DIY,KLIFS TECH,https://www.youtube.com/watch?v=-Qq_TjodeLo,2144,1799,575,@Wild_Hammer,A Man Builds a Secret Tree House | From Start to Finish by @Wild_Hammer,Smart Fox,"house, secret, tree"
ALTA,1.0,,He Built A Traditional Japanese House To Last 100 Years: Hidden In The Forest,KLIFS TECH,https://www.youtube.com/watch?v=7G04Wc3BTcw,2077,1724,551,@RoughStyle,Man Builds Traditional Japanese House Alone | Start to Finish by @RoughStyle,Maker World,"house, japanese, traditional"
ALTA,1.0,,Military Technologies That Are On Another Level,22TechZoom,https://www.youtube.com/watch?v=QHUIm-rQeN0,2053,1894,854,@elbitsystems,Modern Military Technologies That Are At Another Level ▶2,TechFreeze,"another, level, military, technologies"
ALTA,1.0,,Abandoned 100 Year Old House Renovation - 2 Year Timelapse | Start to Finish.,Woodworking TV,https://www.youtube.com/watch?v=rrSreVdkm8Q,1901,1408,370,@carpintariarustica,Abandoned 100 Year Old House Renovation - Timelapse by @carpintariarustica ​,Smart Fox,"100, abandoned, house, renovation"
ALTA,1.0,,How This Backyard Was Transformed Into A Dream Swimming Pool | Full Build Process,KLIFS TECH,https://www.youtube.com/watch?v=6bs3bq9nYWw,1859,1577,599,@rlcmaker,Man Builds Amazing SWIMMING POOL in His Backyard - Start to Finish by @rlcmaker,Quantam Tech HD,"backyard, pool, swimming"
ALTA,1.0,,I Built a Real-Life UFO Boat That Actually Works,10 Royal Tech,https://www.youtube.com/watch?v=cq4XvgyCtbE,1842,1217,261,@Mr_Ho,Man Builds a Real UFO Boat That Actually Works! | Full Build Process by @Mr_Ho,TechFreeze,"actually, boat, real, ufo, works"
ALTA,1.0,,They Built A Hidden Underground Log Cabin In The Siberian Forest: Full Survival Build,KLIFS TECH,https://www.youtube.com/watch?v=ZRtnp3aViF4,1833,1487,506,@bushcraftua1,Man Built an UNDERGROUND Log Cabin: Start to Finish by @bushcraftua1,SmartTechZone,"cabin, log, underground"
ALTA,1.0,,Man Builds Dream Garage From Old Barn | 2 Years Timelapse,KLIFS TECH,https://www.youtube.com/watch?v=3cugMbLKD_U,1829,1242,283,@BergstromGarage,Man Transforms Old Barn into Amazing Dream Garage by @BergstromGarage,FuturisticTech,"barn, dream, garage"
ALTA,1.0,,Most Amazing Unusual Vehicles,Techglobal ,https://www.youtube.com/watch?v=AgbHxuwgC7s,1793,1331,373,@1BillionTech,Most Unusual Vehicles,22TechZoom,"most, unusual, vehicles"
ALTA,1.0,SÍ — revisar,Couple Builds Dream Cabin in Canadian Forest. Full Construction Process,KLIFS TECH,https://www.youtube.com/watch?v=XYB6BHDwF84,1719,1152,272,@dialtommy,Man Builds Dream Cabin in the Forest with Family | Start to Finish by @dialtommy,AKLA GELEN,"cabin, dream, forest"
ALTA,1.0,,CONCEPTS THAT WILL BLOW YOUR MIND,22TechZoom,https://www.youtube.com/watch?v=l8pO1fePQvc,1704,1533,763,@Lazzarinidesign,INSANE CONCEPTS OF THE FUTURE THAT WILL BLOW YOUR MIND,KLIFS TECH,"blow, concepts, mind, will"
ALTA,1.0,,This Man Spent 600 Days Turning 4 Shipping Containers Into a Dream Home- Full Build by Julien Malara,The Builders World,https://www.youtube.com/watch?v=giPsjJ_-7Ds,1616,712,95,@Fabricatusueno,Man Builds His Dream Home From Shipping Containers l Full DIY Build 🤯✨(by @Fabricatusueno),Car Test Channel,"containers, dream, home, shipping"
ALTA,1.0,,STUNNING WOODEN CABIN BUILT BY HAND IN THE FOREST,Eonx Lab,https://www.youtube.com/watch?v=1CQMAAEjA5s,1565,818,141,@cabininthenorth,The man builds his own wooden cabin by hand. | @cabininthenorth,MrS,"cabin, hand, wooden"
ALTA,1.0,,He Built Cozy Off Grid Cabin From Scratch. 1-Year Construction Process,KLIFS TECH,https://www.youtube.com/watch?v=nEutXDwYbFk,1382,962,305,@woodjunkie_yt,Couple Builds Cozy Off-Grid Cabin From Scratch by @woodjunkie_yt,FuturisticTech,"cabin, cozy, grid, off, scratch"
ALTA,1.0,,Family Build Their Dream Log House in Alaska,10 Royal Tech,https://www.youtube.com/watch?v=pzp-zehqJvE,1349,869,243,@MontanaHaven,Father Builds Dream Log House For His Children in Alaska | 2-Years Timelapse by @MontanaHaven,TechFreeze,"alaska, dream, house, log"
ALTA,1.0,,FAMILY BUILDS AN AMAZING LOG HOUSE DEEP IN THE ALASKA,10 Royal Tech,https://www.youtube.com/watch?v=pj3A3SqfddE,1346,748,164,@MontanaHaven,Family Builds an Amazing Log House Deep in the Alaska Start to Finish by‪@MontanaHaven,22TechZoom,"alaska, deep, house, log"
ALTA,1.0,,I Turned a Plastic Water Tank into a Secret Off-Grid Hobbit House!,Renov Master,https://www.youtube.com/watch?v=ZjK_JafYrpQ,1301,584,99,@my_off-grid_story,Couple Builds Amazing Off-Grid House | Start to Finish by @my_off-grid_story,Maexology,"grid, house, off"
ALTA,1.0,,Man Renovates 100-Year-Old Cabin in 2 Years | Full Build by HomesteadingDays ,Rebuilding HD,https://www.youtube.com/watch?v=FsdqycHuBI4,1130,715,231,@homesteadingdays,Man Renovates 100-Year-Old CABIN in 2 YEARS | Start to Finish by @homesteadingdays,Quantum Makers,"100, cabin, renovates"
ALTA,1.0,,The Biggest Trucks In The World,10 Royal Tech,https://www.youtube.com/watch?v=2XaAIy4v5kg,1094,1020,896,@GearForgeHD,The BIGGEST Tow Truck in the WORLD ▶ Impressive Recovery Trucks You HAVE to See,Gear Tech HD,"biggest, trucks, world"
ALTA,1.0,,I Built a Hidden Warm Shelter Underground to Survive Winter,Supervivencia Real,https://www.youtube.com/watch?v=TjAdnwtJduc,1080,566,142,@PolissyaBushcraft,A Man Built a Hidden Underground Shelter by Himself@PolissyaBushcraft,Hidden Cabin ,"hidden, shelter, underground"
ALTA,1.0,,MOST COMFORTABLE TRUCKS YOU HAVEN'T SEEN BEFORE,TechTalks,https://www.youtube.com/watch?v=y9QQuvOOyag,996,696,308,@silo-melmer.at,MOST COMFORTABLE TRUCKS You Haven't SEEN BEFORE ▶ Restoration of a TUNED OLD Truck,Gear Tech HD,"before, comfortable, haven, most, seen, trucks"
ALTA,1.0,,He Converted A Plain Van Into A Fully Off-Grid Luxury Home On Wheels: Start To Finish,KLIFS TECH,https://www.youtube.com/watch?v=95QXnlnmBok,983,796,503,@GrumpyToadCreations,We Built an Off Grid Home in 2 Years | Start to Finish By @GrumpyToadCreations,Cabin Maker,"grid, home, off"
ALTA,1.0,,Construction Technologies That Have Reached A New Level,TechTalks,https://www.youtube.com/watch?v=WMU_o8oDkRY,970,661,286,@liteform,CONSTRUCTION TECHNOLOGIES THAT HAVE REACHED A NEW LEVEL,KLIFS TECH,"construction, have, level, reached, technologies"
ALTA,1.0,,How He Built A Full-Size Yacht Powered By An Old Car Engine | DIY Engineering Masterpiece,KLIFS TECH,https://www.youtube.com/watch?v=5UtMwB6EvOo,956,814,609,@Nasatchannel,Man Builds Full-Size YACHT with Car Engine | Start to Finish Build by @Nasatchannel,TechFreeze,"car, engine, size, yacht"
ALTA,1.0,,Father and Daughter Build a Huge Dream Family House in 3 Years | Start to Finish,Quantum Build Studio,https://www.youtube.com/watch?v=Fvu3T_Rntl8,810,299,65,@?,Father and Daughter Build HUGE Family House in 3 YEARS | Start to Finish by @집,Quantum Makers,"daughter, father, house, huge"
ALTA,1.0,,Man Builds a 180HP JET SKI with a Motorcycle Engine,10 Royal Tech,https://www.youtube.com/watch?v=2xuaxuJDZeM,810,370,103,@homemade_madness,Man Builds a 180HP JET SKI with a Motorcycle Engine | Full Build by @homemade_madness,Makerium,"180hp, engine, jet, motorcycle, ski"
ALTA,1.0,,They Restored A Million-Dollar Mansion Left To Rot For 5 Years: Full Transformation,KLIFS TECH,https://www.youtube.com/watch?v=AT0aMf_wd-s,747,619,547,@Wolfpupfab,Building a Million-Dollar Mansion | Start to Finish by ⁨@Wolfpupfab⁩,BuildXplore,"dollar, mansion, million"
ALTA,1.0,,Man Revives a 1969 Lincoln Continental Mark III | Full Classic Car Restoration From Start to Finish,Namtum Makers,https://www.youtube.com/watch?v=ekbNI46NKUQ,721,297,82,@rcm_by,Full Restoration of a 50-Year-Old Classic Car | by @rcm_by,Quantum Makers,"car, classic, restoration"
ALTA,1.0,,INGENIOUS TOOLS THAT ARE ON A NEW LEVEL,KLIFS TECH,https://www.youtube.com/watch?v=kuh3fYssbSk,694,655,948,@winnidesigns,Ingenious tools that are on another Level ▶1,TechFreeze,"ingenious, level, tools"
ALTA,1.0,,He Dug And Built A Hidden Underground Cabin In The Forest | Full Build Journey,KLIFS TECH,https://www.youtube.com/watch?v=GyDv3ELQ9B8,674,569,588,@PolissyaBushcraft,Hidden Cabin: He Built This Alone in the Forest@PolissyaBushcraft,Hidden Cabin ,"cabin, forest, hidden"
ALTA,1.0,,Construction Technologies That Have Reached A New Level,22TechZoom,https://www.youtube.com/watch?v=bQKB4d_c3WI,671,558,556,@liteform,CONSTRUCTION TECHNOLOGIES THAT HAVE REACHED A NEW LEVEL,KLIFS TECH,"construction, have, level, reached, technologies"
ALTA,1.0,SÍ — revisar,FULL 200m² WOODEN HOUSE BUILD – FROM EMPTY LAND TO DREAM HOME!,Farm Tastic,https://www.youtube.com/watch?v=qowFenma__4,667,528,464,@slothconstruction,Building My Dream House From Start to Finish | Complete Home Build @slothconstruction @QuantumMakers,CabinCraft,"dream, home, house"
ALTA,1.0,SÍ — revisar,Affordable Home Building Ideas That Can Transform Your Dream House,TECHNOLOGY KBG,https://www.youtube.com/watch?v=9QeyL3CLKYw,653,436,269,@slothconstruction,Building My Dream House From Start to Finish | Complete Home Build @slothconstruction @QuantumMakers,CabinCraft,"dream, home, house"
ALTA,1.0,,Construction Technologies That Have Reached a New Level,Techglobal ,https://www.youtube.com/watch?v=nOj_jVloCkM,653,513,451,@liteform,CONSTRUCTION TECHNOLOGIES THAT HAVE REACHED A NEW LEVEL,KLIFS TECH,"construction, have, level, reached, technologies"
ALTA,1.0,,INCREDIBLE VEHICLES THAT ARE ON ANOTHER LEVEL,Maexology,https://www.youtube.com/watch?v=V6Haz0qFqUI,625,579,871,@RUSSIAN.ATV.PLASTUN,ALL-TERRAIN VEHICLES THAT ARE ON ANOTHER LEVEL,KLIFS TECH,"another, level, vehicles"
ALTA,1.0,,He Spent A Year Building A Cozy Brick And Log Cabin Deep In The Forest | DIY Journey,KLIFS TECH,https://www.youtube.com/watch?v=pIdA6Xrdr24,601,510,601,@RoughStyle,Man Build Alone a  Incredible Log Cabin in the Deep Forest - Start to Finish @RoughStyle​,Pro Build Master,"cabin, deep, forest, log"
ALTA,1.0,,Couple spends 90 days building a brick and clay pizza oven by hand,10 Royal Tech,https://www.youtube.com/watch?v=25UgsNu4FyE,566,122,23,@OffGridLife,Couple spends 3 months building a brick and clay pizza oven by hand | performed by@OffGridLife,Makers TV,"brick, clay, hand, oven, pizza, spends"
ALTA,1.0,,MOST UNUSUAL VEHICLES THAT WILL BLOW YOUR MIND,TECH REVIEWS,https://www.youtube.com/watch?v=mque6aZVZGg,565,340,202,@1BillionTech,Most Unusual Vehicles,22TechZoom,"most, unusual, vehicles"
ALTA,1.0,,I Built a Winter Survival Shelter and Spent the Night by the Fire,Supervivencia Real,https://www.youtube.com/watch?v=VLBIfBLG7q0,541,285,144,@norusarubushcraft,Man Builds Complete Survival Shelter for Winter | Start to Finish Build By @norusarubushcraft,TechFreeze,"shelter, survival, winter"
ALTA,1.0,,Full video : I Built a Wooden House in the Wilderness in Just 30 Days,Farm Tastic,https://www.youtube.com/watch?v=N6tAdLKFyag,528,421,475,@serkanbilgin27,This man built a wooden house in just 10 days | Full Video By @serkanbilgin27,SUN Channel,"house, just, wooden"
ALTA,1.0,,Man Turns A Giant Water Tank Into A Real Boat,10 Royal Tech,https://www.youtube.com/watch?v=tboov7YKNvE,520,183,59,@MustaqimMuhammadHatta,"Man Turns a Giant 5,000 Liter Water Tank Into Real Boat | Start To Finish by  @MustaqimMuhammadHatta",Lord Gizmo,"boat, giant, real, tank, turns, water"
ALTA,1.0,,Solo Survival: Building a Cozy Forest Cabin with Wood and Stone,Farm Tastic,https://www.youtube.com/watch?v=vUlrnBeO2iQ,509,405,471,@lesnoy_craft8607,Man Builds STONE CABIN Alone in the Forest | Start to Finish by ‪@lesnoy_craft8607 ‬,SmartTechZone,"cabin, forest, stone"
ALTA,1.0,,"A $1,000 Underground Hobbit Home Project",10 Royal Tech,https://www.youtube.com/watch?v=IeLlQBmr3oM,444,260,188,@AloshaLynov,"A $2,000 Underground Hobbit Home Project Start to Finish by @AloshaLynov",22TechZoom,"000, hobbit, home, project, underground"
ALTA,1.0,,A Bankrupt Couple Renovates An Old Mountain House To Raise Their Young Children  | Start To Finish.,Woodworking TV,https://www.youtube.com/watch?v=lngrppj0mw8,403,290,338,@juanxiaoliu,Young Woman Renovates Old House in 2 Years |Start to Finish@juanxiaoliu,BRAIN TIME VT,"house, renovates, young"
ALTA,1.0,,Two Brothers Turned 100-Year Abandoned SILO Into a Luxury Family Space,The Makers HD,https://www.youtube.com/watch?v=20I3sLZ5lng,400,29,3,@Worzalla_Brothers,Two Brothers Turned 100-Year Abandoned SILO Into a Luxury Family Space | @Worzalla_Brothers,Maker World,"100, abandoned, brothers, luxury, silo, space, turned, two"
ALTA,1.0,,This Man Uses FREE ABANDONED PALLETS to Build a House in the Forest,10 Royal Tech,https://www.youtube.com/watch?v=xxROxaSu9OI,375,64,15,@lesnoy,Man Uses FREE ABANDONED PALLETS to Build a House in the Forest | Full Build by @lesnoy,TechFreeze,"abandoned, forest, free, house, pallets, uses"
ALTA,1.0,,Skilled Chinese Carpenter Built His Dream Wooden House in 30 Days – Full Construction Process,Woodworking TV,https://www.youtube.com/watch?v=vZJ8eX7nbc4,367,284,427,@LetsBuildAHouse,The process of building wooden house in 10 days - Complete construction process by⁨@LetsBuildAHouse⁩,Home Renov,"construction, house, wooden"
ALTA,1.0,,My Wife Bought Old House and Renovates it Back to New in 2 YEARS | Start to Finish.,Woodworking TV,https://www.youtube.com/watch?v=wBzasIkUJM4,349,258,368,@juanxiaoliu,She Bought an Old House and Renovates it Back to New in 2 YEARS | @juanxiaoliu,KLIFS TECH,"back, bought, house, renovates"
ALTA,1.0,,"Man Turns a $20,000 Truck into a Stunning Apartment on Wheels",10 Royal Tech,https://www.youtube.com/watch?v=iXVcenEW3qA,328,160,120,@andrewryanpov,"Man Turns a $30,000 Truck Into a Luxury Apartment on Wheels | Start to Finish by ‪@andrewryanpov‬",99Techspot,"000, apartment, truck, turns, wheels"
ALTA,1.0,,"Man Buys Abandoned House for $500, Cleaning and Rebuilding It to His Dream Home | Start to Finish.",Woodworking TV,https://www.youtube.com/watch?v=kipY7AYa8ck,319,232,348,@DmitryLukinDIY,Man Builds His DREAM House Alone in 500 Days (Start to Finish by ‪@DmitryLukinDIY),TTI Build Stories ,"500, dream, house"
ALTA,1.0,,Young Woman Buys Old House and Renovates it Back to New in 2 YEARS | Start to Finish,Quantam Tech HD,https://www.youtube.com/watch?v=exPG92LDaxQ,280,233,559,@mesoptv,Young Couple Buys Old Country House and Renovates it Back to New | Start to Finish by @mesoptv,Quantum Makers,"back, buys, house, renovates, young"
ALTA,1.0,SÍ — revisar,Building a Log Cabin Alone in the Forest.|from start to finish JohntheBuilder.,HITECH,https://www.youtube.com/watch?v=db8c-gApBfU,267,83,46,@WoodsandWondersCabin,Woman Builds a Beautiful Log Cabin in the Forest | Start to Finish @WoodsandWondersCabin,BRAIN TIME VT,"cabin, forest, log"
ALTA,1.0,,AMAZING TOOLS THAT ARE INSANELY ON ANOTHER LEVEL,KLIFS TECH,https://www.youtube.com/watch?v=YGPzlIGTPqY,218,207,971,@hammerfisttool,AMAZING TOOLS THAT ARE ON ANOTHER LEVEL,Maexology,"another, level, tools"
ALTA,1.0,,I Built a Stone House Alone in the Forest in 7 Days — Full Build,Farm Tastic,https://www.youtube.com/watch?v=sOsLK4tguNI,199,97,119,@lesnoy_craft8607,Man Builds an Amazing Stone and Log House in the Forest | Start to Finish @lesnoy_craft8607,BUILDCRAFT WORLD DIY,"forest, house, stone"
ALTA,1.0,,Real Transforming Vehicles You Didn't Know Exist,Techglobal ,https://www.youtube.com/watch?v=ZxPvphXN5nk,166,128,425,@PEECONmachinery,INCREDIBLE VEHICLES YOU DIDN'T KNOW EXIST,Maexology,"didn, exist, know, vehicles"
ALTA,1.0,,MOST COMFORTABLE TRUCKS AND BUSSES YOU HAVE NOT SEEN BEFORE,10 Royal Tech,https://www.youtube.com/watch?v=pDI32XXhPis,136,131,1045,@mobas.ch,Most INCREDIBLE Trucks You HAVE to See,Gear Tech HD,"have, most, trucks"
ALTA,1.0,,Ingenious TOOLS That Are On Another Level,KLIFS TECH,https://www.youtube.com/watch?v=AcGPesw485g,132,117,726,@winnidesigns,Ingenious tools that are on another Level ▶1,TechFreeze,"another, ingenious, level, tools"
ALTA,1.0,,Man Transforms Abandoned Warehouse in Chicago into a Dream Home 5-year START-TO-FINISH Renovation,Epic Explore World,https://www.youtube.com/watch?v=59VL48_vPWg,118,64,154,@homesteadingdays,Couple Transforms Abandoned Warehouse into a Dream Home | Full Build @homesteadingdays,BRAIN TIME VT,"abandoned, dream, home, transforms, warehouse"
ALTA,1.0,,Solo Building a 360° Rotating Cabin in the Forest from Scratch,Renov Master,https://www.youtube.com/watch?v=QNp4vET9Uzw,107,27,31,@bushcraftua1,DIY Cabin in the Forest — Build Your Own Cabin from Scratch!@bushcraftua1,Hidden Cabin ,"cabin, forest, scratch"
ALTA,1.0,,Built A House In Just 6 DAYS For CHEAP! (Full Construction Start to Finish),B P C,https://www.youtube.com/watch?v=yVrHLgKToKY,103,70,287,@Gablok-maison-kit,Man Builds CHEAP HOUSE in Just 6 DAYS | Start to Finish Full construction process,AKLA GELEN,"cheap, construction, house, just"
ALTA,1.0,,Construction Technologies That Have Reached A New Level,TechTalks,https://www.youtube.com/watch?v=3lSn68nXlS0,102,70,295,@liteform,CONSTRUCTION TECHNOLOGIES THAT HAVE REACHED A NEW LEVEL,KLIFS TECH,"construction, have, level, reached, technologies"
ALTA,1.0,,Young couple transforms old French house into dream home in 1 year timelapse by EXODE - RÉNOVATION,Rebuilding HD,https://www.youtube.com/watch?v=CFMAQA3ag5c,101,44,93,@TheFixerHomeRepair,Man Transforms Old House Into DREAM HOME In 8 Years | By @TheFixerHomeRepair,Quantum Makers,"dream, home, house, transforms"
ALTA,1.0,,Old Man Builds Massive Log Cabin in Alaska Wilderness 120-Day | By This Is My Alaska,Rebuilding HD,https://www.youtube.com/watch?v=vHJjPuNYyQ4,98,30,45,@MontanaHaven,Family Builds Stunning Log Cabin in Alaska Wilderness | Start to Finish@MontanaHaven ‬,HORIZON TECH ,"alaska, cabin, log, wilderness"
ALTA,1.0,,How One Man Built His Dream Container Home on a Budget | Full Build Process,BuildRecap TV,https://www.youtube.com/watch?v=WVnFpMdRNKo,44,6,10,@TheModernHomeProject,A Man Built His Dream Container Home in 3 Years@TheModernHomeProject,Renovation Rescue HD,"container, dream, home"
ALTA,1.0,,Couple Builds An Off-Grid Shipping Container Home From Scratch (start to finish),Epic Explore World,https://www.youtube.com/watch?v=XjJ7ba0QF8g,35,10,39,@GrumpyToadCreations,We Built an Off Grid Home in 2 Years | Start to Finish By @GrumpyToadCreations,Cabin Maker,"grid, home, off"
ALTA,1.0,,Man Built His Own Two-Story Wooden House in the Middle of the Forest in 300 Days | Strart To Finish ,Survival Skills,https://www.youtube.com/watch?v=ZRoxshIFZcc,35,24,288,@Wood_Wolf,Man Builds a Stunning 2-Story Wooden House in the Forest | From Start to Finish by @Wood_Wolf,Maker World,"forest, house, story, wooden"
ALTA,1.0,,The Man Who Built a Bamboo House Deep in the Forest | From Start to Finish ,Survival Skills,https://www.youtube.com/watch?v=pNmA3BDQ9ls,34,22,254,@UlilEbell,Man Builds A Bamboo House in the Forest | By @UlilEbell,TTI Build Stories ,"bamboo, forest, house"
ALTA,1.0,,Man Built a house in the forest (ASMR) — A HIDDEN TREE TRUNK HOUSE Deep in the Forest,Epic Explore World,https://www.youtube.com/watch?v=I-FW0uq2b9w,32,19,194,@ArtSportArtSport,Man Builds an Amazing Tree House in the DIY Forest | Tree House | Start to Finish @ArtSportArtSport,Rustic Roots Build,"forest, house, tree"
ALTA,1.0,,Car Restoration | 1964 Porsche 901 Full Restoration From Rust to Showroom Classic ASMR,Lynsey Windon,https://www.youtube.com/watch?v=ubki-JAoqOQ,32,18,172,@rcm_by,Full Restoration of a 50-Year-Old Classic Car | by @rcm_by,Quantum Makers,"car, classic, restoration"
ALTA,1.0,,Man Digs a Hole in a Mountain and Turns it Into an Apartment | Start to Finish,Build Beyond,https://www.youtube.com/watch?v=ZJdbHYs-zcs,23,20,675,@?,Man Digs a Hole in a Mountain and Turns it Into an Amazing Apartment,Quantum Makers,"apartment, digs, hole, mountain, turns"
ALTA,1.0,,Building a Cozy Off-Grid Cabin: Start to Finish (Timelapse),Hillside Builder,https://www.youtube.com/watch?v=GNFXcnurSjg,22,9,78,@woodjunkie_yt,Cozy Off-Grid Log Cabin Built From Scratch by a Young Couple in 50 Days | @woodjunkie_yt,22TechZoom,"cabin, cozy, grid, off"
ALTA,1.0,,"Satisfying Wood Carving Machines, Wood CNC & Lathe Machines",Click Star Techno,https://www.youtube.com/watch?v=f2d5YuMj3VQ,21,19,843,@rjckindlingmachines2248,"Satisfying Wood Carving Machines, Wood CNC & Lathe Machines ▶5",TechFreeze,"carving, cnc, lathe, machines, satisfying, wood"
ALTA,1.0,SÍ — revisar,Man Built A Huge Log House Deep In The Forest In 365 Days | From Start To Finish,Survival Skills,https://www.youtube.com/watch?v=iCJpp8f08kE,20,13,249,@КарельскийДилетант,Man Build a Log House in the Forest | Start to Finish by @КарельскийДилетант,B P C,"forest, house, log"
ALTA,1.0,,Man Buys ABANDONED HOUSE for $7500 and Renovates It Back To New | Start to Finish,Quantam Tech HD,https://www.youtube.com/watch?v=IPDVn1w1F-Y,17,14,559,@DIY_OTAKU_take,Man Buys ABANDONED HOUSE for $7500 and Renovates It Back To New | Start to Finish @DIY_OTAKU_take,Quantum Makers,"7500, abandoned, back, buys, house, renovates"
ALTA,1.0,,Converted a SHIPPING CONTAINER into a Dream Home in 365 Days!,The Building Zone,https://www.youtube.com/watch?v=vi6Yx_4tVXM,15,13,647,@TheModernHomeProject,A Man Built His Dream Container Home in 3 Years@TheModernHomeProject,Renovation Rescue HD,"container, dream, home"
ALTA,1.0,SÍ — revisar,Father & Son Build A Big Log House In The Middle Of The Wild Forest | From Start To Finish ,Survival Skills,https://www.youtube.com/watch?v=b5ZigGVZpkw,15,10,281,@КарельскийДилетант,Man Build a Log House in the Forest | Start to Finish by @КарельскийДилетант,B P C,"forest, house, log"
ALTA,1.0,,Man Builds Log Cabin in the Middle of the Northern Wilderness | From Start to Finish ,Survival Skills,https://www.youtube.com/watch?v=VNmYOBtBWUA,14,9,266,@lifeinthesiberianforest1,Man Building a Log Cabin in the Wilderness — Full Process @lifeinthesiberianforest1,BRAIN TIME VT,"cabin, log, wilderness"
